Date,AAPL
2007-12-13,5.910083293914795
2007-12-14,5.86571741104126
2007-12-17,5.681171894073486
2007-12-18,5.637424468994141
2007-12-19,5.641736030578613
2007-12-20,5.767745018005371
2007-12-21,5.974164962768555
2007-12-24,6.124820709228516
2007-12-26,6.129441738128662
2007-12-27,6.117734432220459
2007-12-28,6.156554222106934
2007-12-31,6.102638244628906
2008-01-02,6.002817153930664
2008-01-03,6.005590915679932
2008-01-04,5.547153949737549
2008-01-07,5.472903728485107
2008-01-08,5.276034832000732
2008-01-09,5.527127742767334
2008-01-10,5.484611988067627
2008-01-11,5.320399761199951
2008-01-14,5.508025169372559
2008-01-15,5.207946300506592
2008-01-16,4.918342113494873
2008-01-17,4.95685338973999
2008-01-18,4.971334457397461
2008-01-22,4.795106887817383
2008-01-23,4.284602165222168
2008-01-24,4.177694797515869
2008-01-25,4.005472183227539
2008-01-28,4.005472183227539
2008-01-29,4.052609920501709
2008-01-30,4.072328567504883
2008-01-31,4.170300006866455
2008-02-01,4.120699882507324
2008-02-04,4.055999279022217
2008-02-05,3.9854464530944824
2008-02-06,3.7586934566497803
2008-02-07,3.7352781295776367
2008-02-08,3.865907907485962
2008-02-11,3.9882194995880127
2008-02-12,3.8468077182769775
2008-02-13,3.986679792404175
2008-02-14,3.926909923553467
2008-02-15,3.8397202491760254
2008-02-19,3.764240026473999
2008-02-20,3.8147668838500977
2008-02-21,3.744521141052246
2008-02-22,3.68043851852417
2008-02-25,3.6890647411346436
2008-02-26,3.6708874702453613
2008-02-27,3.788269281387329
2008-02-28,4.0023908615112305
2008-02-29,3.8517379760742188
2008-03-03,3.7503745555877686
2008-03-04,3.839412212371826
2008-03-05,3.8354077339172363
2008-03-06,3.7257277965545654
2008-03-07,3.766394853591919
2008-03-10,3.6875247955322266
2008-03-11,3.92352032661438
2008-03-12,3.8828530311584473
2008-03-13,3.941696882247925
2008-03-14,3.9007227420806885
2008-03-17,3.9044196605682373
2008-03-18,4.092045783996582
2008-03-19,3.9949986934661865
2008-03-20,4.105910301208496
2008-03-24,4.298774242401123
2008-03-25,4.343446254730225
2008-03-26,4.469147682189941
2008-03-27,4.320957660675049
2008-03-28,4.405991554260254
2008-03-31,4.42108678817749
2008-04-01,4.606863975524902
2008-04-02,4.544012546539307
2008-04-03,4.67094612121582
2008-04-04,4.716236114501953
2008-04-07,4.802809238433838
2008-04-08,4.708841323852539
2008-04-09,4.665708541870117
2008-04-10,4.7615251541137695
2008-04-11,4.533231258392334
2008-04-14,4.552947998046875
2008-04-15,4.571434020996094
