,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2020-03-18,-6544.626301412591,-2390.4847246363947,-8391.557876809338,-5330.506983257629,-9677.559515011162,-5127.8218546902835,-4933.556200877976,-1106.5643639834773,3423.8492230651204,-2611.766761723865,-2687.291334716142,-2495.827752615179,-1854.8008691871844
2020-03-19,3076.1602370123746,921.0680949411454,3431.541508327151,1782.6448522073495,3255.542418186138,2197.5666307465763,2023.7410127630587,491.31767161905935,-352.268766532254,1034.1661094814558,1208.1467461193113,933.9970460496854,712.1793219577557
2020-03-20,-2780.9341060056736,-1226.285776691846,-4139.784014995034,-3072.7208285363354,-5393.072892576201,-2430.287479789041,-2411.9490142030245,-453.246317767124,5606.52961470253,-1502.3857907354072,-1232.5663828846828,-1303.2600071417812,-939.34593943786
2020-03-23,-2048.3233204490534,-860.2989030981889,-2886.1907130644845,-2035.5669020203084,-3781.9324275433364,-1704.8729245052887,-1702.3842976652743,-389.73165377170824,101.62608633335918,-812.3754736543839,-851.8383356189071,-916.9311518836076,-677.5142430312757
2020-03-24,5913.242844162953,2601.3318119230757,8777.755610001514,6498.970951437331,11442.319680566261,5154.3409266858525,5117.671760329313,973.4140005172843,-11244.040197477276,3145.6758512903825,2611.653381381275,2765.196006038841,1995.8142068353432
2020-03-25,1283.12267172072,506.00964333950844,1727.3314482438952,1161.323271679705,2154.9184971665068,1035.3821271745753,1019.0272831073867,236.43674909356375,-42.816370901623415,489.8107677590774,526.8481568196289,535.1666938582333,397.5288391521497
2020-03-26,3732.326489792498,1657.4289172653355,5586.834418275312,4167.274673786719,7310.1616986143445,3274.92862378045,3254.3284273117397,608.3929334314588,-7691.722745713637,2033.8625410543682,1658.5156939894266,1762.6409057367791,1269.37116318509
2020-03-27,-2533.328196949048,-1045.008380271874,-3584.4943652403563,-2536.095608574267,-4459.011626560387,-2135.1165284041963,-2091.233916109023,-407.41318597066567,4370.223054860384,-1280.2614166564936,-1099.8430579368726,-1102.698327242543,-800.3862143809429
2020-03-30,906.5523926412047,577.0305473449604,1860.8241960162534,1720.0522333258689,2793.64315265069,1024.5295975232111,1057.9686685388508,101.62050864776013,-7256.526524026475,950.4719643397567,500.9663752913303,625.2953975778216,423.5370837698315
2020-03-31,-352.79428013689056,-260.19948717562755,-794.158427611649,-768.8552804078263,-1345.9592529453644,-421.1928193598766,-459.3488962887843,-67.7098363853455,1643.902725720387,-309.59710177341634,-188.09844950690513,-288.28622617538474,-200.16966397729422
2020-04-01,-3945.2732478934768,-1575.0274906549819,-5436.514343724929,-3744.5620310454415,-6629.751088151468,-3260.415607826359,-3177.594803743284,-641.978899481722,5573.6746322744075,-1882.6952876414714,-1687.9169809232906,-1657.2572074278153,-1209.862198399981
2020-04-02,811.8505828235942,457.2557533596453,1479.880062206878,1278.7735269742668,2177.321877629569,828.5046655213202,853.0722946274533,123.55791469204095,-3640.750340283308,626.837186918775,403.13530018599704,494.8197783810285,345.2793869073928
2020-04-03,-1831.72430471358,-672.515867115063,-2360.7278528152597,-1508.8145930788903,-2725.5669337445597,-1441.269165546633,-1386.567270843458,-306.41469499023344,1209.4263918915394,-749.7541422532012,-755.7734703884582,-702.1552063620996,-520.6654695011035
2020-04-06,4497.663486314835,1959.392665300112,6653.486812927181,4909.811565556498,8540.93705714923,3919.2205446424828,3870.033676324149,708.3626249877777,-10210.515055000702,2493.938237755723,2002.2014295766362,2076.9257422548717,1493.6981181510032
2020-04-07,658.9568894123373,193.6339308731222,690.1925314373566,319.9758598625527,728.8281323702864,440.6149222656549,420.56858333007284,145.35461412906042,2412.5039227875995,52.0741318868328,228.7264851515216,200.78125794502864,162.42484980371432
2020-04-08,2665.053651377835,1096.215301358538,3751.6642232663617,2641.321373694176,4688.285253966585,2234.51569768139,2193.0013791100355,441.0365260901335,-3796.290325714254,1291.2156209307987,1146.9607250773768,1157.9380613296303,843.5829774117449
2020-04-09,2974.050685952385,995.9875759156589,3556.7802773034073,2061.714078558511,3864.141945463463,2214.7719270730486,2104.356930388035,521.8860382608582,938.7212544578384,970.3986258191809,1173.8553878573186,1031.4990098511594,781.6988524784181
2020-04-13,-1812.3543909965185,-607.6792474824646,-2160.7737056627057,-1247.2905999408354,-2372.646542967203,-1344.1171558285555,-1281.6196602614934,-327.8963762590487,-1159.6728484668383,-552.1873529591808,-708.5488270184443,-630.6633081078354,-480.00355099120594
2020-04-14,470.8476733499948,428.5357424726109,1342.4254241556691,1421.419441730863,2196.8587999060264,704.1506899376386,747.8797862868722,14.283814153771097,-8015.864521607244,848.7795391629201,335.8176912826615,469.827635272282,303.68111640855284
2020-04-15,-2765.6343853371145,-1000.4373257734733,-3511.224525051788,-2203.78754654829,-4043.1760736579736,-2149.1372623690227,-2068.452828079772,-477.91638895374336,677.2741022643802,-1046.644905300201,-1124.5910871720234,-1044.6446916350305,-779.800399601609
2020-04-16,-958.3768760225148,-220.49769211153338,-846.0182989642243,-243.0395209082365,-674.4331103834489,-574.393953232182,-521.9384582612205,-206.19317489617046,-4099.38865668728,-3.1325540280457034,-313.5783371528772,-220.28376560922956,-189.1475896890368
2020-04-17,2985.6115211640526,1120.99145101994,3898.3634449347987,2530.972319999044,4620.094278179259,2366.1428482201018,2293.578979839944,517.0642411076357,-1270.2177158250963,1188.2022839629108,1228.5190779585303,1175.5355551510268,872.6513754327085
2020-04-20,-1059.2349704299368,-475.8234952349426,-1589.2484104815692,-1188.2904809002891,-2124.936738142721,-927.7002724368272,-929.3639987332546,-184.94242664555094,1518.5785327843307,-535.4141214087116,-463.9294185107979,-508.09386318522525,-368.1529577175329
2020-04-21,-1438.59172288493,-725.6437780433939,-2391.7704298770095,-1941.5690321152786,-3343.176664343756,-1367.18258600244,-1384.8333120940763,-225.58842006869284,4793.061631804025,-953.6546284654814,-678.0262162649339,-779.2400192965665,-551.0093966936704
2020-04-22,410.87265396723217,345.55666317891865,1076.9932511642426,1108.1096759644986,1770.5122131165263,567.992737018572,606.4236653222521,34.1720617621976,-5256.524639044399,608.3890654791312,266.91141922190116,379.6541119703853,250.7052419421939
2020-04-23,723.755906759876,206.058037132511,773.8806981299805,372.46234949702307,708.0233297594058,501.04010800442677,459.22975555345124,121.53229020154323,435.2418457507558,202.7161676146752,276.0296120008504,208.10044971007872,161.50641474234712
2020-04-24,939.3390972365022,407.61799841306384,1388.170536405956,1023.3202963574417,1769.474103203306,818.799783825645,806.4871710474114,144.69777401171072,-2305.53797358721,531.6499928178614,419.8847647287451,431.5011931143033,309.7495241011975
2020-04-27,2678.4854599762216,916.0609504214427,3256.413134584164,1931.5022847445862,3594.2892541912042,2018.267238855869,1924.0342722374228,467.17427349119663,390.06317829965946,914.8523078331831,1066.3432615622714,950.7962253159027,717.2874093651467
2020-04-28,1201.6979956568812,295.25347521503846,1127.1077893415209,397.4706167178992,936.601906090323,753.7930902037855,685.8178623116186,239.79336053756344,3724.0340539760623,109.34754578765018,413.61701624452195,295.7190134245464,245.24037882768718
2020-04-29,3202.6648024746837,1180.8694978243486,4140.762201634468,2656.6173083523913,4796.787116924494,2525.589041746523,2431.741509605019,535.9237921555487,-2178.3590889925317,1317.887438062458,1323.1719707414325,1233.5312308014416,914.1368715108842
2020-04-30,-1863.1615538607534,-631.1414324860851,-2252.7191248529757,-1325.890704233995,-2456.9104574689873,-1399.694190928441,-1330.1361792900414,-320.7663844059974,-106.50904263004227,-644.2061357244985,-742.4921130641303,-653.7922162936983,-493.11212706742054
2020-05-01,-2315.8158342541947,-939.1531878643883,-3226.540887746777,-2247.958108191786,-3987.582495612617,-1927.954165458712,-1886.175992682785,-380.81211486123186,3247.2825608135063,-1111.3361897369543,-993.3941134549423,-990.3002719371761,-722.3030260883509
2020-05-04,-243.85409140082461,-31.915264904816677,-140.42323680346612,43.137869161024675,-38.12859857666393,-110.71008296877847,-94.64838307719587,-64.55172227189551,-2135.271125549974,85.72504790972027,-62.111958145216725,-29.417645845320553,-33.9382423380424
2020-05-05,-190.75549536470197,36.388059000512825,67.7785839368493,283.2851894636624,327.54718585142683,-5.719125931921584,20.137208961751334,-67.22293740053364,-3595.3882784523344,229.6161677293404,-13.722590222653782,46.26712470409566,13.816767705992508
2020-05-06,-1240.8205216189074,-421.3592469197968,-1473.0032804568548,-845.761949983878,-1688.9104882937304,-911.1953430949641,-880.97338572038,-247.8653223046967,-2133.2421433974223,-290.74991182744367,-470.35970675010844,-440.8613268924545,-339.92402720262726
2020-05-07,903.0568283944552,385.42369891166453,1308.5791261727977,947.5561498137598,1674.8146212502095,773.281163065599,763.8786542387917,149.1992055453263,-1508.5736161861653,459.99378193691416,394.0380691958432,408.58501345590577,296.1586377136844
2020-05-08,2613.692210257296,917.7028639257352,3243.268119495449,1977.090891956161,3651.03933540951,1998.4019263678747,1913.3265293617574,453.12731649829806,-139.06410604299714,940.4950926354137,1051.3944506497635,955.1368697188562,716.770897604934
2020-05-11,-1270.8991668358265,-365.6820094554111,-1319.4658408767332,-600.3477092922305,-1343.7082670663692,-847.5375875000327,-801.5115612028006,-270.1064021496794,-4147.32370650634,-130.29128457428448,-445.5579324021412,-376.9305582332314,-304.2699471220386
2020-05-12,-2093.756147191056,-798.0258952553289,-2775.6777022774395,-1833.4308470329513,-3297.8790155547345,-1680.4697265919344,-1628.28014965055,-350.93121598776077,1775.7092647635318,-899.227959087444,-874.3339218649305,-836.7667494174818,-617.151630975729
2020-05-13,-2347.9394281289965,-851.052773333098,-2984.720638002821,-1876.323835524802,-3444.2912444640065,-1825.9538605495732,-1758.434151604637,-406.5918477371652,548.4812294258552,-887.7052797983505,-954.7701679460475,-888.9686564609902,-663.5683167267756
2020-05-14,478.92571112190626,264.0543288481482,838.0847619974772,705.941814938199,1279.7583526594028,467.6268701025649,490.5736705963997,95.50229076916061,-691.3064061487961,268.6807632920027,219.50954485014248,288.0923822980766,206.55842221548602
2020-05-15,465.8731548729386,172.92858192102742,632.6434010138155,428.0998462043101,662.897774464444,388.8146707415107,361.2565329349768,46.86082821111892,-2220.7833503055367,320.4939814300246,215.16143355385998,176.91882828370007,124.0662020139511
2020-05-18,4303.842300269661,1537.3774941385313,5400.6101296136685,3340.524639575811,6189.3404105364625,3313.5334636235557,3187.4707683378138,757.128218631011,48.265610030486556,1544.1025110085445,1733.2097243830553,1604.658366057195,1203.2325886475166
2020-05-19,-1404.6379992643374,-501.5771291441024,-1763.3030835727584,-1091.2038814000684,-2017.109799686276,-1082.1029157420464,-1040.282264704528,-245.75855889121698,63.21772674614691,-509.16873834739056,-566.5618381776335,-523.3403006493737,-392.1453519655555
2020-05-20,1988.2561556689245,736.9538768884242,2580.427446161351,1663.0609269276713,3002.4755235785065,1571.9878835280404,1515.2811130418888,333.22293509812056,-1378.3223763103908,821.9809891908295,822.5125302497047,770.3391089030854,570.535733641092
2020-05-21,14.571115538547044,-69.23984877470356,-185.3550106102804,-275.1854534837434,-430.99805431769175,-78.14950827976328,-100.94331861271233,9.293833145978839,1512.8850654614625,-136.60502370230066,-26.726475434824486,-80.31151267898711,-49.164426861977844
2020-05-22,-17.798922622157985,13.956476080772987,46.373564275326444,82.3716952688982,77.47063122982134,20.383487645029167,20.111080772276086,-19.965026988429134,-1322.9385866545379,93.57378273314903,12.460261986575993,14.900852925542676,4.841468487818253
2020-05-26,2603.646462858762,871.4059480514201,3079.4638226911147,1757.8245817556794,3430.3133113090876,1914.0223687197458,1834.4523818939429,494.45362128607826,3109.0576697894758,695.2778457180568,1000.5705296270324,907.0681877225853,695.7413348078563
2020-05-27,2604.639136457996,895.236856789936,3160.095454454962,1869.7303439106427,3550.8756001351603,1954.1668648941684,1873.6591690631114,475.19309426192245,1581.5924877912805,811.075003120815,1023.6399682579942,932.3298718560092,707.370387088197
2020-05-28,-1720.706019823624,-514.5868764173465,-1885.5042256052097,-950.5060223289527,-1866.9869909063775,-1204.670015582496,-1124.1876681230403,-311.7167065514321,-2050.5203178704132,-426.83862467299804,-649.1617843126875,-526.2933315175264,-409.4879585811772
